customer_id,age,gender,region,product,category,purchase_channel,payment_method,order_value_inr,rating,issue_type,issue_resolved,feedback,review,customer_emotion,customer_happy,review_date
CUST00019,28,Female,West,Smartphone,Electronics,Marketplace,Credit Card,700.7,5,Poor Quality,Yes,Great value for money. The smartphone is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-06-18
CUST00020,45,Other,Central,Keyboard,Accessories,Marketplace,Credit Card,1486.23,5,Late Delivery,No,I am very happy with the keyboard. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-08-11
CUST00021,21,Male,Central,Smartphone,Electronics,Marketplace,Net Banking,2570.6,3,Wrong Item,Yes,I expected better quality from this smartphone.,I feel let down by the product.,Sad,No,2025-02-28
CUST00022,61,Male,West,Monitor,Computers,Website,Net Banking,2347.76,4,Late Delivery,Yes,I am very happy with the monitor. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-03-25
CUST00023,34,Male,East,Keyboard,Accessories,Mobile App,Debit Card,484.56,5,Poor Quality,Yes,Great value for money. The keyboard is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-11-04
CUST00024,22,Other,South,Mouse,Accessories,Store,Credit Card,2535.08,4,Damaged Product,Yes,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-09-08
CUST00025,57,Other,Central,Camera,Photography,Website,Net Banking,891.76,4,Damaged Product,Yes,Loved the camera! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-05-18
CUST00026,35,Female,Central,Tablet,Electronics,Mobile App,Debit Card,1620.48,2,Late Delivery,No,I am extremely angry. The tablet arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2026-06-02
CUST00027,35,Male,North,Mouse,Accessories,Store,Credit Card,608.48,4,Support Delay,No,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-06-15
CUST00028,25,Male,South,Mouse,Accessories,Website,Debit Card,1202.66,2,Wrong Item,Yes,I expected better quality from this mouse.,I feel let down by the product.,Sad,No,2026-03-17
CUST00029,31,Other,South,Headphones,Audio,Website,Debit Card,1344.69,2,Wrong Item,No,I am disappointed with the headphones. It did not meet my expectations.,The experience made me unhappy.,Sad,No,2025-06-08
CUST00030,65,Female,West,Smartwatch,Wearables,Mobile App,Debit Card,417.8,4,Late Delivery,Yes,I am very happy with the smartwatch. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2026-01-27
CUST00031,37,Male,South,Smartphone,Electronics,Website,Credit Card,1628.43,2,Poor Quality,No,The smartphone stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-10-13
CUST00032,61,Other,East,Laptop,Computers,Website,UPI,2630.31,5,Damaged Product,Yes,Loved the laptop! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-09-29
CUST00033,45,Other,Central,Smartphone,Electronics,Website,Cash on Delivery,978.95,5,Wrong Item,Yes,I am very happy with the smartphone. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-09-18
CUST00034,41,Female,North,Smartphone,Electronics,Store,Net Banking,2654.76,4,Damaged Product,Yes,I was surprised by the features and performance of the smartphone.,The product surprised me in a good way.,Surprise,Yes,2025-11-04
CUST00035,62,Female,Central,Monitor,Computers,Mobile App,Credit Card,969.42,5,Poor Quality,No,"Wow, the monitor arrived much earlier than promised.",Unexpectedly fast delivery.,Surprise,Yes,2025-06-28
CUST00036,37,Female,South,Speaker,Audio,Marketplace,Net Banking,1904.99,2,Wrong Item,No,This is unacceptable. I received the wrong speaker.,Very angry and frustrated.,Angry,No,2026-04-22
CUST00037,68,Other,South,Mouse,Accessories,Website,Debit Card,259.29,5,Wrong Item,No,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-04-06
CUST00038,19,Male,South,Smartwatch,Wearables,Marketplace,Net Banking,5282.77,5,None,No,Great value for money. The smartwatch is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2026-03-01
CUST00039,43,Male,South,Speaker,Audio,Website,UPI,2898.79,1,Poor Quality,Yes,I am extremely angry. The speaker arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-06-30
CUST00040,47,Male,West,Monitor,Computers,Store,Cash on Delivery,911.41,4,Wrong Item,No,Loved the monitor! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-04-02
CUST00041,58,Female,Central,Headphones,Audio,Marketplace,Credit Card,304.34,5,Damaged Product,No,Great value for money. The headphones is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-03-21
CUST00042,26,Male,South,Tablet,Electronics,Marketplace,Credit Card,1322.42,2,Support Delay,Yes,I am disappointed with the tablet. It did not meet my expectations.,The experience made me unhappy.,Sad,No,2025-03-07
CUST00043,21,Male,West,Keyboard,Accessories,Marketplace,Net Banking,429.0,5,Support Delay,Yes,Loved the keyboard! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-01-25
CUST00044,52,Other,Central,Mouse,Accessories,Mobile App,Cash on Delivery,1464.33,5,Late Delivery,No,I did not expect the mouse to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2026-03-23
CUST00045,64,Male,West,Mouse,Accessories,Mobile App,Net Banking,1432.99,5,Wrong Item,Yes,I am very happy with the mouse. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2026-02-08
CUST00046,26,Female,South,Speaker,Audio,Website,Debit Card,594.72,2,Poor Quality,No,I expected better quality from this speaker.,I feel let down by the product.,Sad,No,2025-08-05
CUST00047,34,Male,West,Mouse,Accessories,Website,Net Banking,2272.48,5,None,No,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-08-18
CUST00048,19,Other,South,Laptop,Computers,Mobile App,Credit Card,1851.26,2,Poor Quality,Yes,I expected better quality from this laptop.,I feel let down by the product.,Sad,No,2025-08-12
CUST00049,67,Male,East,Mouse,Accessories,Website,Net Banking,2067.89,2,None,No,I expected better quality from this mouse.,I feel let down by the product.,Sad,No,2026-01-20
CUST00050,24,Other,East,Keyboard,Accessories,Website,Net Banking,1102.97,4,None,No,Great value for money. The keyboard is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2026-06-30
CUST00051,18,Female,West,Keyboard,Accessories,Website,Cash on Delivery,436.99,5,Damaged Product,No,I was surprised by the features and performance of the keyboard.,The product surprised me in a good way.,Surprise,Yes,2025-06-06
CUST00052,57,Other,West,Keyboard,Accessories,Marketplace,Cash on Delivery,2070.65,2,Support Delay,No,I am extremely angry. The keyboard arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-11-27
CUST00053,54,Other,West,Smartwatch,Wearables,Store,UPI,919.89,5,Poor Quality,No,I did not expect the smartwatch to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-07-06
CUST00054,56,Other,East,Mouse,Accessories,Website,Net Banking,444.36,5,Late Delivery,Yes,I did not expect the mouse to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-09-05
CUST00055,59,Other,West,Keyboard,Accessories,Marketplace,UPI,2640.77,2,None,No,The keyboard stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-08-15
CUST00056,48,Other,Central,Keyboard,Accessories,Store,Cash on Delivery,4292.46,5,Support Delay,No,I was surprised by the features and performance of the keyboard.,The product surprised me in a good way.,Surprise,Yes,2025-12-27
CUST00057,64,Male,East,Mouse,Accessories,Website,Net Banking,1067.62,5,Support Delay,Yes,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-07-16
CUST00058,24,Male,East,Smartwatch,Wearables,Mobile App,Debit Card,4462.34,5,Late Delivery,No,Great value for money. The smartwatch is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-01-15
CUST00059,62,Male,West,Monitor,Computers,Website,UPI,1163.69,5,Wrong Item,No,I am very happy with the monitor. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2026-04-26
CUST00060,48,Male,North,Mouse,Accessories,Marketplace,Cash on Delivery,856.37,5,None,Yes,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-06-05
CUST00061,53,Female,Central,Headphones,Audio,Mobile App,Net Banking,727.93,5,Poor Quality,No,Great value for money. The headphones is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2026-03-30
CUST00062,57,Other,North,Tablet,Electronics,Mobile App,Credit Card,3178.31,5,Damaged Product,Yes,Great value for money. The tablet is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-06-10
CUST00063,44,Female,Central,Smartwatch,Wearables,Marketplace,Debit Card,660.44,1,None,Yes,I am extremely angry. The smartwatch arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-10-23
CUST00064,34,Other,Central,Tablet,Electronics,Mobile App,Cash on Delivery,1768.57,5,None,Yes,Great value for money. The tablet is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-06-02
CUST00065,56,Other,Central,Tablet,Electronics,Store,Cash on Delivery,762.46,4,None,No,I am very happy with the tablet. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-11-08
CUST00066,23,Other,North,Keyboard,Accessories,Marketplace,Debit Card,813.06,3,Wrong Item,No,The keyboard stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-01-27
CUST00067,66,Other,East,Laptop,Computers,Website,Credit Card,2142.36,5,Poor Quality,No,I am very happy with the laptop. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-10-12
CUST00068,48,Female,West,Headphones,Audio,Store,Debit Card,856.6,1,Support Delay,Yes,This is unacceptable. I received the wrong headphones.,Very angry and frustrated.,Angry,No,2025-06-14
CUST00069,70,Other,North,Camera,Photography,Marketplace,UPI,842.93,5,Damaged Product,No,Loved the camera! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-11-28
CUST00070,44,Male,South,Laptop,Computers,Store,Net Banking,2290.04,5,Poor Quality,No,"Wow, the laptop arrived much earlier than promised.",Unexpectedly fast delivery.,Surprise,Yes,2025-02-22
CUST00071,62,Female,North,Smartwatch,Wearables,Website,Net Banking,3097.37,1,Late Delivery,Yes,Worst purchase ever! The smartwatch is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2025-11-15
CUST00072,25,Female,North,Monitor,Computers,Mobile App,Cash on Delivery,1667.45,5,Support Delay,No,I am very happy with the monitor. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2026-06-06
CUST00073,53,Male,West,Tablet,Electronics,Mobile App,Net Banking,716.52,5,Wrong Item,Yes,Loved the tablet! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-03-13
CUST00074,36,Other,East,Tablet,Electronics,Marketplace,Credit Card,786.9,1,Poor Quality,No,Worst purchase ever! The tablet is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2025-12-20
CUST00075,30,Other,South,Camera,Photography,Marketplace,Credit Card,1155.1,1,Poor Quality,Yes,This is unacceptable. I received the wrong camera.,Very angry and frustrated.,Angry,No,2025-11-22
CUST00076,49,Male,South,Mouse,Accessories,Store,UPI,1351.01,2,Poor Quality,Yes,This is unacceptable. I received the wrong mouse.,Very angry and frustrated.,Angry,No,2026-06-23
CUST00077,22,Female,East,Mouse,Accessories,Store,Net Banking,577.03,1,Support Delay,No,I am extremely angry. The mouse arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-03-24
CUST00078,52,Male,Central,Camera,Photography,Website,Credit Card,1754.56,5,Support Delay,No,Great value for money. The camera is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-08-21
CUST00079,46,Male,East,Laptop,Computers,Website,UPI,1159.31,4,Damaged Product,Yes,Loved the laptop! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-10-28
CUST00080,54,Other,South,Camera,Photography,Mobile App,Credit Card,359.53,5,None,No,Loved the camera! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-09-04
CUST00081,47,Female,North,Mouse,Accessories,Marketplace,Debit Card,599.56,5,Support Delay,Yes,I was surprised by the features and performance of the mouse.,The product surprised me in a good way.,Surprise,Yes,2025-03-17
CUST00082,62,Female,West,Mouse,Accessories,Store,Credit Card,790.22,2,Poor Quality,No,The mouse stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-04-20
CUST00083,62,Female,North,Smartwatch,Wearables,Marketplace,Debit Card,1045.91,5,None,Yes,Loved the smartwatch! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-05-24
CUST00084,57,Female,South,Tablet,Electronics,Website,UPI,3744.45,5,Damaged Product,No,I am very happy with the tablet. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-02-04
CUST00085,38,Other,West,Speaker,Audio,Mobile App,Credit Card,1280.25,5,Late Delivery,No,Loved the speaker! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-06-28
CUST00086,65,Female,North,Monitor,Computers,Marketplace,UPI,634.92,4,Late Delivery,Yes,Loved the monitor! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-02-11
CUST00087,52,Male,West,Monitor,Computers,Store,Debit Card,1265.74,1,Wrong Item,No,Worst purchase ever! The monitor is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2026-01-16
CUST00088,57,Male,North,Laptop,Computers,Marketplace,Debit Card,872.31,2,Support Delay,No,I expected better quality from this laptop.,I feel let down by the product.,Sad,No,2025-04-30
CUST00089,24,Male,Central,Headphones,Audio,Mobile App,Cash on Delivery,1354.37,4,Poor Quality,No,I did not expect the headphones to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2026-03-06
CUST00090,49,Other,West,Speaker,Audio,Store,UPI,1599.38,5,Support Delay,No,Great value for money. The speaker is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-08-11
CUST00091,52,Other,East,Mouse,Accessories,Website,Cash on Delivery,2406.67,4,Damaged Product,Yes,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-05-06
CUST00092,21,Female,South,Mouse,Accessories,Mobile App,Net Banking,1079.46,2,Late Delivery,Yes,I am extremely angry. The mouse arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-08-01
CUST00093,35,Male,South,Speaker,Audio,Store,Credit Card,3182.19,1,None,Yes,I am extremely angry. The speaker arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2025-05-15
CUST00094,29,Female,North,Smartphone,Electronics,Mobile App,Cash on Delivery,1978.74,3,Wrong Item,Yes,The smartphone stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-03-07
CUST00095,46,Other,South,Mouse,Accessories,Website,Net Banking,692.4,2,Damaged Product,No,Worst purchase ever! The mouse is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2025-02-01
CUST00096,49,Other,West,Smartphone,Electronics,Website,UPI,4611.95,2,Damaged Product,Yes,The smartphone stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-03-09
CUST00097,42,Other,Central,Headphones,Audio,Store,Cash on Delivery,1356.34,3,Wrong Item,No,The headphones stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-04-12
CUST00098,45,Female,South,Laptop,Computers,Marketplace,Debit Card,637.25,5,Poor Quality,No,Great value for money. The laptop is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2026-03-02
CUST00099,41,Male,West,Laptop,Computers,Website,UPI,3211.18,5,None,Yes,Loved the laptop! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-03-19
CUST00100,55,Other,Central,Laptop,Computers,Store,UPI,4232.53,5,Poor Quality,No,Great value for money. The laptop is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2026-03-10
CUST00101,54,Other,South,Smartphone,Electronics,Mobile App,Cash on Delivery,1073.34,5,Late Delivery,Yes,Loved the smartphone! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-12-25
CUST00102,69,Female,Central,Monitor,Computers,Website,Net Banking,790.47,2,Support Delay,No,The monitor stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-01-30
CUST00103,18,Male,South,Headphones,Audio,Marketplace,UPI,980.4,5,Late Delivery,Yes,Loved the headphones! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-04-04
CUST00104,28,Female,East,Monitor,Computers,Store,Net Banking,1745.11,2,Wrong Item,Yes,I am disappointed with the monitor. It did not meet my expectations.,The experience made me unhappy.,Sad,No,2025-02-23
CUST00105,35,Female,West,Headphones,Audio,Marketplace,Net Banking,2516.46,4,Poor Quality,No,I did not expect the headphones to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-10-07
CUST00106,36,Other,Central,Smartwatch,Wearables,Marketplace,Net Banking,1588.93,4,Support Delay,No,Great value for money. The smartwatch is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-02-16
CUST00107,37,Male,South,Smartwatch,Wearables,Store,Debit Card,1171.59,5,Damaged Product,Yes,Loved the smartwatch! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-01-08
CUST00108,52,Other,South,Mouse,Accessories,Store,UPI,2903.6,1,Poor Quality,Yes,This is unacceptable. I received the wrong mouse.,Very angry and frustrated.,Angry,No,2026-03-23
CUST00109,54,Female,West,Smartphone,Electronics,Store,UPI,894.85,4,Poor Quality,Yes,Loved the smartphone! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-11-29
CUST00110,45,Male,South,Headphones,Audio,Marketplace,Net Banking,2143.29,5,Poor Quality,Yes,Great value for money. The headphones is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2026-02-10
CUST00111,22,Other,North,Tablet,Electronics,Mobile App,Debit Card,909.38,5,Damaged Product,Yes,Great value for money. The tablet is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-08-30
CUST00112,66,Other,North,Laptop,Computers,Mobile App,Cash on Delivery,1451.23,5,Poor Quality,No,I am very happy with the laptop. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-11-27
CUST00113,58,Female,East,Camera,Photography,Website,Debit Card,1018.6,5,Wrong Item,Yes,I did not expect the camera to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-11-14
CUST00114,22,Other,North,Mouse,Accessories,Marketplace,Cash on Delivery,1057.54,1,Wrong Item,Yes,Worst purchase ever! The mouse is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2026-04-06
CUST00115,50,Male,North,Speaker,Audio,Marketplace,UPI,858.08,2,Damaged Product,Yes,I expected better quality from this speaker.,I feel let down by the product.,Sad,No,2026-06-01
CUST00116,51,Other,Central,Headphones,Audio,Mobile App,Debit Card,2628.46,5,Damaged Product,No,I did not expect the headphones to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2026-02-01
CUST00117,22,Female,North,Keyboard,Accessories,Marketplace,Debit Card,681.02,1,Damaged Product,Yes,Worst purchase ever! The keyboard is defective and nobody resolved my complaint.,I am furious with the service.,Angry,No,2025-12-08
CUST00118,59,Other,West,Laptop,Computers,Mobile App,Net Banking,677.8,5,Support Delay,Yes,Great value for money. The laptop is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-11-14
CUST00119,59,Other,West,Monitor,Computers,Store,UPI,4353.11,4,Damaged Product,No,"Wow, the monitor arrived much earlier than promised.",Unexpectedly fast delivery.,Surprise,Yes,2025-07-04
CUST00120,27,Male,East,Smartwatch,Wearables,Website,Net Banking,2070.61,2,Wrong Item,Yes,The smartwatch stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-12-11
CUST00121,29,Other,Central,Speaker,Audio,Mobile App,Cash on Delivery,232.68,1,None,No,I am extremely angry. The speaker arrived damaged and support did not help.,Terrible service and unacceptable experience.,Angry,No,2026-01-09
CUST00122,32,Other,South,Smartwatch,Wearables,Store,Cash on Delivery,759.44,5,Late Delivery,No,"Wow, the smartwatch arrived much earlier than promised.",Unexpectedly fast delivery.,Surprise,Yes,2026-03-28
CUST00123,28,Male,Central,Mouse,Accessories,Mobile App,Debit Card,337.72,5,None,No,Loved the mouse! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-01-16
CUST00124,23,Male,East,Monitor,Computers,Marketplace,Net Banking,591.14,5,Late Delivery,No,I am very happy with the monitor. The quality is excellent and it works perfectly.,Excellent product and smooth experience.,Happy,Yes,2025-04-04
CUST00125,43,Other,East,Smartwatch,Wearables,Mobile App,Cash on Delivery,142.59,5,None,No,Loved the smartwatch! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-08-18
CUST00126,68,Male,South,Smartphone,Electronics,Website,Debit Card,1003.21,4,Poor Quality,Yes,Loved the smartphone! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-04-26
CUST00127,31,Male,Central,Mouse,Accessories,Marketplace,UPI,522.04,1,Damaged Product,Yes,This is unacceptable. I received the wrong mouse.,Very angry and frustrated.,Angry,No,2025-11-05
CUST00128,22,Male,West,Laptop,Computers,Website,Net Banking,1140.18,5,Wrong Item,Yes,I did not expect the laptop to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2025-05-28
CUST00129,54,Female,South,Tablet,Electronics,Website,Net Banking,381.33,4,Damaged Product,Yes,Loved the tablet! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2026-06-23
CUST00130,48,Male,West,Monitor,Computers,Store,Debit Card,1157.36,3,Support Delay,Yes,I expected better quality from this monitor.,I feel let down by the product.,Sad,No,2026-01-01
CUST00131,67,Other,East,Laptop,Computers,Mobile App,UPI,837.4,4,Damaged Product,No,Loved the laptop! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-06-29
CUST00132,22,Other,West,Mouse,Accessories,Website,Debit Card,2911.05,5,Late Delivery,Yes,Great value for money. The mouse is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-07-24
CUST00133,34,Male,South,Smartphone,Electronics,Store,Debit Card,2744.58,5,None,No,Loved the smartphone! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-10-07
CUST00134,42,Female,South,Laptop,Computers,Marketplace,Cash on Delivery,1827.08,5,Damaged Product,No,Loved the laptop! Delivery was fast and it exceeded my expectations.,Very satisfied with my purchase.,Happy,Yes,2025-03-26
CUST00135,38,Male,North,Keyboard,Accessories,Store,Debit Card,886.87,5,Damaged Product,No,I did not expect the keyboard to be this good. What a pleasant surprise!,Surprisingly better than expected.,Surprise,Yes,2026-03-13
CUST00136,64,Female,Central,Headphones,Audio,Marketplace,Debit Card,3985.82,5,Support Delay,Yes,Great value for money. The headphones is easy to use and performs really well.,Happy customer. I would recommend it.,Happy,Yes,2025-03-18
CUST00137,19,Male,Central,Keyboard,Accessories,Marketplace,UPI,399.63,3,Late Delivery,Yes,The keyboard stopped working sooner than expected and support was slow.,Disappointed with the purchase.,Sad,No,2025-08-30
